demand_key,status,price
1033455|2026-07-01,FORMULA_NOT_FOUND,
1033466|2026-07-01,SPOT_NOT_CALCULATED,
1033483|2026-07-01,FORMULA_NOT_FOUND,
1033510|2026-07-01,FORMULA_NOT_FOUND,
1033558|2026-07-01,FORMULA_NOT_FOUND,
1033573|2026-07-01,COMPONENT_ERROR,
1033604|2026-07-01,COMPONENT_ERROR,
1033619|2026-07-01,SPOT_NOT_CALCULATED,
1033621|2026-07-01,FORMULA_NOT_FOUND,
1033637|2026-07-01,FORMULA_NOT_FOUND,
1033657|2026-07-01,SPOT_NOT_CALCULATED,
1033693|2026-07-01,COMPONENT_ERROR,
1033755|2026-07-01,CALCULATED,19983.7500016352
1033847|2026-07-01,COMPONENT_ERROR,
1033879|2026-07-01,FORMULA_NOT_FOUND,
1033901|2026-07-01,CALCULATED,125977.56
1033914|2026-07-01,CALCULATED,98399.45502
1033930|2026-07-01,COMPONENT_ERROR,
1033975|2026-07-01,CALCULATED,78530.6479
1033986|2026-07-01,COMPONENT_ERROR,
1034005|2026-07-01,COMPONENT_ERROR,
1034006|2026-07-01,COMPONENT_ERROR,
1034009|2026-07-01,COMPONENT_ERROR,
1034017|2026-07-01,COMPONENT_ERROR,
1034046|2026-07-01,COMPONENT_ERROR,
1034066|2026-07-01,COMPONENT_ERROR,
1034068|2026-07-01,COMPONENT_ERROR,
1034078|2026-07-01,CALCULATED,93920.194
1034150|2026-07-01,COMPONENT_ERROR,
1034179|2026-07-01,COMPONENT_ERROR,
1034187|2026-07-01,COMPONENT_ERROR,
1034200|2026-07-01,COMPONENT_ERROR,
1034211|2026-07-01,CALCULATED,84411.36
1034213|2026-07-01,CALCULATED,84411.36
1034214|2026-07-01,CALCULATED,65994.336
1034215|2026-07-01,CALCULATED,65994.336
1034246|2026-07-01,COMPONENT_ERROR,
1034253|2026-07-01,COMPONENT_ERROR,
1034254|2026-07-01,COMPONENT_ERROR,
1034255|2026-07-01,COMPONENT_ERROR,
1034256|2026-07-01,COMPONENT_ERROR,
1034306|2026-07-01,FORMULA_NOT_FOUND,
1034307|2026-07-01,FORMULA_NOT_FOUND,
1034310|2026-07-01,COMPONENT_ERROR,
1034341|2026-07-01,COMPONENT_ERROR,
1034349|2026-07-01,COMPONENT_ERROR,
1034363|2026-07-01,COMPONENT_ERROR,
