"row_id","period","customer_asv","customer","mtr_nsi_code","mtr_nsi_name","contract","currency","forecast","country","region","market","client_id","client_name"
"1035255","2026-08-01 00:00:00","54112","ООО ""ПЕПСИКО ХОЛДИНГС""","1596835","Полиэтилентерефталат VIVILEN rPET г/п втор сырья 30 % ТУ 20.16.40-021-39989731-2021","Formula","RUB","44","Russian Federation","The Omsk Area","RF + CIS","CL-10351","Клиент 351"
"1035256","2026-08-01 00:00:00","54112","ООО ""ПЕПСИКО ХОЛДИНГС""","1596835","Полиэтилентерефталат VIVILEN rPET г/п втор сырья 30 % ТУ 20.16.40-021-39989731-2021","Formula","RUB","176","Russian Federation","The Samara Area","RF + CIS","CL-10351","Клиент 351"
"1035281","2026-08-01 00:00:00","319065","ООО ""ПК ПЭТ-СТАНДАРТ""","1203330","Полиэтилентерефталат VIVILEN rPET г/п втор сырья 13,3 % ТУ 20.16.40-021-39989731-2021","Formula","RUB","400","Russian Federation","The Ryazan Area","RF + CIS","CL-10278","Клиент 278"
"1035374","2026-08-01 00:00:00","338237","ООО ""РУС-ОЙЛЭКС""","1464690","Абсорбент 50/370 марка Б, ТУ 20.14.11-244-05766801-2020 изм.2","Formula","RUB","400","Russian Federation","Tatarstan Republic","RF + CIS","CL-10304","Клиент 304"
"1035375","2026-08-01 00:00:00","338237","ООО ""РУС-ОЙЛЭКС""","241582","Остаток кубовый нефтехимии КОН-92 (смола нефтяная тяжелая) ТУ 38.48424318-03-2000","Formula","RUB","96","Russian Federation","The Leningrad Area","RF + CIS","CL-10304","Клиент 304"
"1035379","2026-08-01 00:00:00","338237","ООО ""РУС-ОЙЛЭКС""","1182293","Смола пиролизная тяжелая, марка А ТУ 20.59.59-128-05766801-2017","Formula","RUB","800","Russian Federation","The Leningrad Area","RF + CIS","CL-10304","Клиент 304"
"1035433","2026-08-01 00:00:00","19916","АО ""ВБД""","1596835","Полиэтилентерефталат VIVILEN rPET г/п втор сырья 30 % ТУ 20.16.40-021-39989731-2021","Formula","RUB","88","Russian Federation","The Omsk Area","RF + CIS","CL-10145","Клиент 145"
"1035435","2026-08-01 00:00:00","285736","ООО ""ПЭТ ПЛАСТ""","407335","Полиэтилентерефталат ПЭТФ, гранулят, ТУ 2226-001-55588670-2007","Formula","RUB","240","Russian Federation","The Tver Area","RF + CIS","CL-10209","Клиент 209"
"1035441","2026-08-01 00:00:00","9999","АО ""ПЕТРУС""","721362","Полиэтилентерефталат высоковязкий гранулят г/п ТУ 2226-008-39989731-2009","Formula","RUB","264","Russian Federation","The Samara Area","RF + CIS","CL-10399","Клиент 399"
"1035576","2026-08-01 00:00:00","69129","ООО ""ЛУКОЙЛ-НИЖНЕВОЛЖСКНЕФТЬ""","1182271","Триэтиленгликоль технический, марка А ТУ 2422-075-05766801-2006","Formula","RUB","18","Russian Federation","The Astrakhan Area","RF + CIS","CL-10373","Клиент 373"
"1035582","2026-08-01 00:00:00","243003","ООО ""АЙВИСИ РУС""","1236284","Пластификатор ДБТ ТУ 20.59.56-032-53505711-2022","Formula","RUB","132","Russian Federation","The Oryol Area","RF + CIS","CL-10164","Клиент 164"
"1035668","2026-08-01 00:00:00","108510","ООО ""ХИМПРОМ""","1181437","Фракция пропиленовая улучшенная, спецификация ЗСНХ-006-2021","Formula","RUB","200","Russian Federation","The Kemerovo Area","RF + CIS","CL-10007","Клиент 007"
