"quote_type","quote_name","tech_quote_name","quote_code","quote_date","quote_currency","quote_val","tech_load_ts"
"ОФ","Methyl Acrylate DEL E China","methyl acrylate del e china","24764500029","2026-05-01 00:00:00","USD","1694.26474","2026-05-18 11:00:45"
"ОФ","MEG CFR China","meg cfr china","938750840","2026-05-01 00:00:00","USD","631.0882","2026-05-18 11:00:45"
"ОФ","LDPE CFR Iran","ldpe cfr iran","938750961","2026-05-01 00:00:00","USD","1763.27685","2026-05-18 11:00:45"
"ОФ","Ethylene CFR NE Asia","ethylene cfr ne asia","938751945","2026-05-01 00:00:00","USD","1180","2026-05-18 11:00:45"
"ОФ","Propylene CFR NE Asia","propylene cfr ne asia","938750350","2026-04-01 00:00:00","USD","1322.5","2026-04-17 16:01:03"
"ОФ","HDPE IM CFR China","hdpe im cfr china","938750747","2026-04-01 00:00:00","USD","1139.8557","2026-04-17 16:01:03"
"ОФ","PPR CFR China","ppr cfr china","938751651","2026-04-01 00:00:00","USD","1384.29144","2026-04-17 16:01:03"
"ОФ","PPH CFR Turkey","pph cfr turkey","938752035","2026-04-01 00:00:00","USD","1667.86952","2026-04-17 16:01:03"
"ОФ","LDPE CFR Turkey","ldpe cfr turkey","938750908","2026-04-01 00:00:00","USD","1933.88314","2026-04-17 16:01:03"
"ОФ","PPR CFR China","ppr cfr china","938751651","2026-06-01 00:00:00","USD","1307","2026-06-25 00:00:47"
"ОФ","PPR CFR China","ppr cfr china","938751651","2026-07-01 00:00:00","USD","1050","2026-07-14 11:01:10"
"Факт","PPH CFR Turkey","pph cfr turkey","938752035","2026-04-01 00:00:00","USD","1591","2026-06-04 00:00:49"
"Факт","Ethylene CFR NE Asia","ethylene cfr ne asia","938751945","2026-05-01 00:00:00","USD","1105","2026-06-04 00:00:49"
"Факт","LLDPE CFR Turkey","lldpe cfr turkey","938750572","2026-04-01 00:00:00","USD","1654","2026-06-04 00:00:49"
"Факт","Methyl Acrylate DEL E China","methyl acrylate del e china","24764500029","2026-05-01 00:00:00","USD","1531.79507","2026-06-04 00:00:49"
"Факт","DEG CFR China","deg cfr china","938750381","2026-05-01 00:00:00","USD","836.5","2026-06-04 00:00:49"
"Факт","LLDPE CFR China","lldpe cfr china","938751847","2026-05-01 00:00:00","USD","1085","2026-06-04 00:00:49"
"Факт","HDPE Pipe FD NWE","hdpe pipe fd nwe","938750601","2026-06-01 00:00:00","EUR","1837.5","2026-07-14 11:01:10"
"ОФ","DEG CFR China","deg cfr china","938750381","2026-05-01 00:00:00","USD","820","2026-05-18 11:00:45"
"ОФ","HDPE Pipe FD NWE","hdpe pipe fd nwe","938750601","2026-05-01 00:00:00","EUR","1925","2026-05-18 11:00:45"
