"hname","code_nsi","V_MTR_name","mtr_pf_name_lvl_2","mtr_pf_name_lvl_3","tlevel","datuv","datub","leaf"
"MT00000081","226814","Полипропилен, марка PP H030 GP/3, ТУ 2211-006-93911504-2015","ПП","ПП Гомополимер","02","1900-01-01","9999-12-31","X"
"MT00000081","226936","Полипропилен, марка PP H250 GP/3, ТУ 2211-006-93911504-2015","ПП","ПП Гомополимер","02","1900-01-01","9999-12-31","X"
"MT00000081","1124863","Полипропилен, марка SIBEX PP H041 BF/1 ТУ 2211-112-70353562-2015","ПП","ПП Гомополимер","02","1900-01-01","9999-12-31","X"
"MT00000081","1062990","Полипропилен, марка SIBEX PP I122 IM/3, ТУ 20.16.51-007-81060768-2018","ПП","ПП Блоксополимер","02","1900-01-01","9999-12-31","X"
"MT00000081","227401","Полипропилен, марка SIBEX PP H080 CF/2 ТУ 2211-002-14596232-2016","ПП","ПП Гомополимер","02","1900-01-01","9999-12-31","X"
"MT00000081","211763","Полипропилен, марка Полиом PP H031 BF, ТУ 20.16.51-001-76332549-2016","ПП","ПП Гомополимер","02","1900-01-01","9999-12-31","X"
"MT00000081","1182938","***Полипропилен, марка PP 9240M ТУ 20.16.51-136-05766801-2015","ПП","ПП Прочие","02","1900-01-01","9999-12-31","X"
"MT00000081","1182940","***Полипропилен, марка PP 9240P ТУ 20.16.51-136-05766801-2015","ПП","ПП Прочие","02","1900-01-01","9999-12-31","X"
"MT00000081","1380969","Полипропилен, марка SIBEX PP T122 IM/5 ТУ 20.16.51-136-05766801-2015","ПП","ПП Блоксополимер","02","1900-01-01","9999-12-31","X"
"MT00000081","1182926","***Полипропилен, марка PP 7445LM ТУ 20.16.51-136-05766801-2015","ПП","ПП Прочие","02","1900-01-01","9999-12-31","X"
"MT00000081","1006141","***Полипропилен, марка PP I122 IM/3 ТУ 20.16.51-007-81060768-2018","ПП","ПП Блоксополимер","02","1900-01-01","9999-12-31","X"
"MT00000081","1779069","Полипропилен, марка SIBEX PP I702 IM/5 ТС НКНХ-034-2024","ПП","ПП Блоксополимер","02","1900-01-01","9999-12-31","X"
"MT00000105","1353711","Полиэтилен 15303-003, пленочный, сорт высший, ГОСТ 16337-2022","ПЭ","ПЭНП","02","1900-01-01","9999-12-31","X"
"MT00000105","1392438","Полиэтилен 15313-003, высший сорт (ТП) ГОСТ 16337-2022","ПЭ","ПЭНП","02","1900-01-01","9999-12-31","X"
"MT00000110","159859","Полипропилен, марка SIBEX PP H263 FF/1 ТУ 2211-112-70353562-2015","ПП","ПП Гомополимер","02","1900-01-01","9999-12-31","X"
"MT00000110","766599","***Полипропилен, марка PP H263 FF/1 ТУ 2211-103-70353562-2013","ПП","ПП Гомополимер","02","1900-01-01","9999-12-31","X"
"MT00000110","1233005","Полипропилен, марка PP H270 FF/7 СТ ТОО 50391885-01-2022","ПП","ПП Гомополимер","02","1900-01-01","9999-12-31","X"
"MT00001050","1005995","Полиэтилен, марка HD 80520 FE ТУ 20.16.10-006-81060768-2018","ПЭ","ПЭВП","02","1900-01-01","9999-12-31","X"
"MT00002015","947273","Полистирол вспенивающийся ПСВ, тип LP-STD, марка 450, ТС-СХП-08/2019","Полистирол","ПСВ","02","1900-01-01","9999-12-31","X"
"MT0002006","1182578","Полистирол, марка 825ES ТУ 20.16.20-224-05766801-2020","Полистирол","УППС","02","1900-01-01","9999-12-31","X"
"MT0002006","1779067","Полистирол некондиционный, марка Г, ТС НКНХ-035-2024","Полистирол","ПСОН","02","1900-01-01","9999-12-31","X"
"MT0002006","1182563","Полистирол, марка 402 ТУ 20.16.20-224-05766801-2020","Полистирол","ПСОН","02","1900-01-01","9999-12-31","X"
"MT0002006","1182589","Полистирол ТП, марка А ТУ 20.16.20-195-05766801-2016","Полистирол","ПСОН","02","1900-01-01","9999-12-31","X"
"MT00085613","574193","Термоэластопласт бутадиен-стирольный СБС Л30-01A/SBS L30-01A, гранулы, б/б 1,0 ТУ 2294-018-00148889-2013","ТЭП","Термоэластопласты","02","1900-01-01","9999-12-31","X"
"MT00085613","751384","Термоэластопласт бутадиен-стирольный СБС Л30-01A/SBS L30-01A, гранулы, б/б ТУ 2294-018-00148889-2013","ТЭП","Термоэластопласты","02","1900-01-01","9999-12-31","X"
"MT00085613","1052734","Термоэластопласты бутадиен-стирольные СБС Р30-00AП/SBS R30-00AP, пористые гранулы, мешок ТУ 2294-019-00148889-2013","ТЭП","Термоэластопласты","02","1900-01-01","9999-12-31","X"
"MT99999992","1364120","Полиэфир простой ПЭГ-300 ТУ 20.16.40-255-05766801-2022","Гликоли","ПЭГ","02","1900-01-01","9999-12-31","X"
"MT99999992","1184728","Топливо дизельное отработанное, марка А ТУ 0258-199-00203335-2010","Прочие топливо и топливные добавки","Топливо дизельное","02","1900-01-01","9999-12-31","X"
"MT99999992","1182590","Полистирол загрязненный спецификация № 273641","Полистирол","ПСОН","02","1900-01-01","9999-12-31","X"
"MT99999992","1182081","Флотореагент-оксаль марка Т-92 ТУ 20.59.59-029-05766801-2016","Прочие продукты нефтехимии","Флотореагент-оксаль","02","1900-01-01","9999-12-31","X"
"MT99999992","1050830","Вещество поверхностно-активное СинтаНор 7С ТУ 2483-018-71150986-2012","Прочие продукты нефтехимии","Прочие продукты нефтехимии","02","1900-01-01","9999-12-31","X"
"MT99999992","549716","Фракция ароматических углеводородов, марка ФАУ 2, ТУ 2411-036-48418772-2013","Прочие топливо и топливные добавки","ФАУ","02","1900-01-01","9999-12-31","X"
"MT99999992","380025","Полиэтилентерефталат вторичный (гранулят), ПЭТФ-В-60, ТУ 2226-003-55588670-2007","ПЭТФ","ПЭТФ Целевые марки","02","1900-01-01","9999-12-31","X"
"MT99999992","328490","ДОТФ (3-х лиц)","ДОТФ","ДОТФ","02","1900-01-01","9999-12-31","X"
"MT99999992","279456","Смола тяжелая пиролиза ТУ 2451-021-53505711-2011","Прочие топливо и топливные добавки","ТСП","02","1900-01-01","9999-12-31","X"
"MT99999992","1189696","ПЭТФ (ПЭТ) голубой/прозрачный (бутылка)","Прочие продукты нефтехимии","Прочие продукты нефтехимии","02","1900-01-01","9999-12-31","X"
"MT99999992","152376","***Фракция ароматических углеводородов, марка ФАУ 2, ТУ 2411-113-70353562-2015","Прочие топливо и топливные добавки","ЖПП","02","1900-01-01","9999-12-31","X"
"MT99999992","236579","Смола пиролизная тяжелая (технологическая) техрегламент ПМ-01-2008","Прочие топливо и топливные добавки","ТСП","02","1900-01-01","9999-12-31","X"
"MT99999992","716991","Эфир бутиловый акриловой кислоты (бутилакрилат) ТУ 2435-045-52470175-2012","Акрилаты","Бутилакрилат","02","1900-01-01","9999-12-31","X"
"MT99999992","829956","Полиэтилентерефталат (этерификат) ТУ 2226-008-55588670-2014","ПЭТФ","ПЭТФ Прочие","02","1900-01-01","9999-12-31","X"
"MT99999992","733294","Полиэтилентерефталат категорированный, гранулят, категория 2, 20.16.40-012-55588670-2019","ПЭТФ","ПЭТФ Прочие","02","1900-01-01","9999-12-31","X"
"MT99999992","1182292","Фракция углеводородов С5 ТУ 19.20.32-239-05766801-2020","Прочие полуфабрикаты","Фракция C5","02","1900-01-01","9999-12-31","X"
"MT99999992","1184725","Смола полиалкилбензольная ТУ 2453-196-00203335-2010","Прочие продукты нефтехимии","Прочие продукты нефтехимии","02","1900-01-01","9999-12-31","X"
"MT99999992","1379302","Пироконденсат Е-18 ТС-КОС-08/2023","Прочие топливо и топливные добавки","Пироконденсат","02","1900-01-01","9999-12-31","X"
"MT99999992","214209","Ацетон технический, сорт высший, ГОСТ 2768-84","Прочие продукты нефтехимии","Ацетон","02","1900-01-01","9999-12-31","X"
"MT99999992","1182297","Этилкарбитол технический сорт высший ТУ 2422-125-05766801-2003","Прочие продукты нефтехимии","ПОС прочие","02","1900-01-01","9999-12-31","X"
"MT99999992","1182365","Неонол АФ 9-4 ТУ 20.41.20-229-05766801-2020","Прочие продукты нефтехимии","Неонолы","02","1900-01-01","9999-12-31","X"
"MT99999992","1182314","***Бентонит отработанный ТУ 2164-005-05766801-2004","Прочие продукты нефтехимии","Прочие продукты нефтехимии","02","1900-01-01","9999-12-31","X"
"MT99999992","1182311","Абсорбент-Н, марка В ТУ 20.14.11-036-05766801-2019","Прочие топливо и топливные добавки","Абсорбент","02","1900-01-01","9999-12-31","X"
"MT99999992","1377497","Фракция альфа-олефинов С10, сорт высший ТУ 2411-178-05766801-2015","Прочие продукты нефтехимии","Альфа-олефины","02","1900-01-01","9999-12-31","X"
"MT99999992","1567249","Сода кальцинированная, расплав ТУ 2131-148-05766801-2008","Прочие продукты нефтехимии","Сода кальцинированная","02","1900-01-01","9999-12-31","X"
"MT99999992","1245235","Пластификатор Оксалайт ТС 476282","Прочие продукты нефтехимии","Флотореагент-оксаль","02","1900-01-01","9999-12-31","X"
"MT00000047","314520","Полиэтилентерефталат ВВ (гранулят), марка А ТУ 20.16.40-011-55588670-2018","ПЭТФ","ПЭТФ Прочие","02","1900-01-01","9999-12-31","X"
"MT00000047","179985","Полиэтилентерефталат FF (гранулят) ТУ 20.16.40-014-55588670-2020","ПЭТФ","ПЭТФ Целевые марки","02","1900-01-01","9999-12-31","X"
"MT00000047","843985","Полиэтилентерефталат NEOPET 80","ПЭТФ","ПЭТФ Прочие","02","1900-01-01","9999-12-31","X"
